Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-02-04,200.0,0.0,5360.0,1062.0,272.0,45.0,8.2,55983.0,4483.0,1079.0,279.0,8.1,46.0,52040.0,9.5,11.4,9.5,19.0,False
2025-02-05,228.0,0.0,5360.0,1440.0,272.0,56.0,6.9,56006.0,4487.0,1545.0,280.0,7.5,59.0,52070.0,9.5,12.2,10.2,21.0,False
2025-02-06,260.0,8523192.0,5361.0,1506.0,279.0,58.1,7.4,56030.0,4483.0,1624.0,280.0,8.0,61.1,52093.0,9.5,12.1,10.7,23.0,False
2025-02-07,251.0,8528001.0,5361.0,1608.0,273.0,60.1,7.0,56054.0,4483.0,1764.0,281.0,7.7,64.7,52117.0,9.5,11.5,10.6,27.0,False
2025-02-08,211.0,8532028.0,5361.0,1258.0,273.0,51.0,7.0,56071.0,4483.0,1390.0,282.0,7.6,55.0,52134.0,9.5,13.1,9.5,14.2,False
2025-02-11,244.0,8550132.0,5361.0,1658.0,283.0,61.0,7.7,56151.0,4483.0,1763.0,291.0,8.3,64.3,52214.0,9.5,12.3,11.1,25.0,False
2025-02-12,253.0,8556119.0,5361.0,1522.0,282.0,58.8,7.7,56175.0,4483.0,1670.0,290.0,8.3,62.3,52238.0,9.5,12.1,11.0,27.0,False
2025-02-13,195.0,8561149.0,5361.0,1799.0,291.0,65.1,8.3,56197.0,4483.0,1889.0,299.0,8.9,67.3,52260.0,9.5,13.3,12.0,30.0,True
2025-02-14,173.0,8566164.0,5361.0,1230.0,265.0,54.0,6.4,56221.0,4483.0,1295.0,274.0,7.0,52.3,52284.0,9.5,11.2,9.5,25.0,False
2025-02-15,191.0,8569543.0,5361.0,1107.0,275.0,46.5,7.1,56239.0,4483.0,1196.0,283.0,7.8,49.4,52302.0,9.5,12.9,9.5,15.0,False
2025-02-20,242.0,8585071.0,5365.0,1518.0,291.0,58.1,8.3,56331.0,4489.0,1665.0,297.0,8.7,61.9,52371.0,9.5,13.4,11.3,23.0,False
2025-02-21,238.0,8590677.0,5365.0,1465.0,280.0,57.0,7.5,56353.0,4489.0,1607.0,288.0,8.1,60.7,52394.0,9.5,12.9,10.6,22.0,False
2025-02-22,238.0,8594928.0,5365.0,953.0,282.0,41.3,7.6,56371.0,4489.0,1038.0,288.0,8.1,44.2,52412.0,9.5,12.5,9.5,10.0,False
2025-02-24,239.0,8607416.0,5365.0,1577.0,271.0,59.0,6.8,56427.0,4489.0,1705.0,278.0,7.3,63.0,52467.0,9.5,11.5,10.6,29.0,False
2025-02-25,238.0,8612637.0,5365.0,1592.0,289.0,60.0,8.2,56451.0,4489.0,1725.0,297.0,8.8,63.0,52491.0,9.5,13.0,11.8,27.0,False
2025-02-26,240.0,8619829.0,5365.0,1592.0,289.0,60.0,8.2,56451.0,4490.0,915.0,310.0,9.7,40.5,52530.0,9.5,12.6,10.7,23.0,True
2025-02-27,245.0,8621590.0,5367.0,1634.0,269.0,61.0,6.7,56477.0,4490.0,1758.0,277.0,7.3,64.0,52537.0,9.5,11.4,10.5,29.0,False
2025-02-28,258.0,8626548.0,5367.0,1599.0,275.0,60.3,7.1,56501.0,4490.0,1735.0,282.0,7.5,63.8,52561.0,9.5,11.5,10.5,28.0,False
2025-03-01,251.0,8630042.0,5367.0,1085.0,274.0,45.8,7.0,56578.0,4490.0,1178.0,280.0,7.5,48.6,52578.0,9.5,11.5,9.5,16.0,False
2025-03-03,241.0,8642447.0,5367.0,1753.0,272.0,63.0,7.0,56573.0,4490.0,1783.0,280.0,7.5,65.0,52634.0,9.5,11.4,10.5,27.0,False
2025-03-04,259.0,8648273.0,5367.0,1592.0,283.0,60.0,7.7,56598.0,4490.0,1695.0,290.0,8.2,62.0,52658.0,9.5,12.2,11.2,29.0,False
